id,name,city,state,lat,long
41,Lost Nation Brewing,East Fairfield,VT,44.7844926,-72.8584673
42,Rising Tide Brewing Company,Portland,ME,43.6610277,-70.2548596
43,Rivertowne Brewing Company,Export,PA,40.4181235,-79.625599
44,Revolution Brewing Company,Chicago,IL,41.8755616,-87.6244212
45,Tallgrass Brewing Company,Manhattan,KS,39.1836082,-96.5716694
46,Sixpoint Craft Ales,Brooklyn,NY,40.6501038,-73.9495823
47,White Birch Brewing,Hooksett,NH,43.096972,-71.465378
48,Firestone Walker Brewing Company,Paso Robles,CA,35.6267654,-120.6912456
49,SweetWater Brewing Company,Atlanta,GA,33.7849591,-84.442163
50,Flying Mouse Brewery,Troutville,VA,41.0256177,-78.7853089
51,Upslope Brewing Company,Boulder,CO,40.102555,-105.3632079
52,Pipeworks Brewing Company,Chicago,IL,41.8755616,-87.6244212
53,Bent Brewstillery,Roseville,MN,45.0060767,-93.1566107
54,Flesk Brewing Company,Lombard,IL,41.874851,-88.019341
55,Pollyanna Brewing Company,Lemont,IL,41.6737149,-88.0016263
56,BuckleDown Brewing,Lyons,IL,41.811108,-87.8232695
57,Destihl Brewery,Bloomington,IL,40.4797828,-88.9939147
58,Summit Brewing Company,St. Paul,MN,44.9500208,-93.0949764
59,Latitude 42 Brewing Company,Portage,MI,42.2011538,-85.5800022
60,4 Hands Brewing Company,Saint Louis,MO,38.6529545,-90.24111656
61,Surly Brewing Company,Brooklyn Center,MN,45.0748543,-93.3296296
62,Against The Grain Brewery,Louisville,KY,38.2542376,-85.759407
63,Crazy Mountain Brewing Company,Edwards,CO,29.9116617,-100.3457636
64,SlapShot Brewing Company,Chicago,IL,41.8755616,-87.6244212
65,Mikerphone Brewing,Chicago,IL,41.8755616,-87.6244212
66,Freetail Brewing Company,San Antonio,TX,29.4246002,-98.4951405
67,3 Daughters Brewing,St Petersburg,FL,27.7703796,-82.6695085
68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD,39.3762145,-77.154704
69,Appalachian Mountain Brewery,Boone,NC,36.216795,-81.6745517
70,Birdsong Brewing Company,Charlotte,NC,35.2272086,-80.8430827
71,Union Craft Brewing,Baltimore,MD,39.2908816,-76.610759
72,Atwater Brewery,Detroit,MI,42.3315509,-83.0466403
73,Ale Asylum,Madison,WI,43.074761,-89.3837613
74,Two Brothers Brewing Company,Warrenville,IL,41.8179303,-88.174097
75,Bent Paddle Brewing Company,Duluth,MN,46.7729322,-92.1251218
76,Bell's Brewery,Kalamazoo,MI,42.291707,-85.5872286
77,Blue Owl Brewing,Austin,TX,30.2711286,-97.7436995
78,Speakasy Ales & Lagers,San Francisco,CA,37.7790262,-122.419906
79,Black Tooth Brewing Company,Sheridan,WY,34.28969,-119.3042
80,Hopworks Urban Brewery,Portland,OR,45.5202471,-122.6741949
81,Epic Brewing,Denver,CO,39.7348381,-104.9653271
82,New Belgium Brewing Company,Fort Collins,CO,40.5508527,-105.0668085
83,Sierra Nevada Brewing Company,Chico,CA,39.7284945,-121.8374777
84,Keweenaw Brewing Company,Houghton,MI,46.8591287,-88.7774734
85,Brewery Terra Firma,Traverse City,MI,44.7606441,-85.6165301
86,Grey Sail Brewing Company,Westerly,RI,41.452511,-75.29174
87,Kirkwood Station Brewing Company,Kirkwood,MO,38.5800713,-90.4069177
88,Goose Island Brewing Company,Chicago,IL,41.8755616,-87.6244212
89,Broad Brook Brewing LLC,East Windsor,CT,42.335451,-83.348281
90,The Lion Brewery,Wilkes-Barre,PA,41.2464824,-75.8817316
91,Madtree Brewing Company,Cincinnati,OH,39.1014537,-84.5124602
92,Jackie O's Pub & Brewery,Athens,OH,39.3289242,-82.1012479
93,Rhinegeist Brewery,Cincinnati,OH,39.1014537,-84.5124602
